1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
497,5.27598E+16,-2992,3.4713E+16,-250006,7889996,9999999,5542816,-99992,-8,8.02799E+15,3247007,43487985,2941475,9.77799E+15,2.52E+16,101820015,79759968,311828,37134988
498,5276001,-2997,3471299,-250013,7.88999E+15,1E+16,5542796,-99989,-84,8028015,3247022,43487973,2941494,9778008,2519998,1.0182E+16,79759972,3.11811E+16,37134993
499,5.27599E+16,-3013,3.4713E+16,-249991,7890021,1E+16,5542808,-9.9996E+15,-82,8.028E+15,324699,4.3488E+16,2941508,9777995,2519988,1.0182E+16,79759982,311827,3.7135E+16
500,5275994,-2992,3.4713E+16,-250007,7889993,10000009,5542811,-100006,-78,8027994,3246992,43487999,294149,9778001,2519997,101819985,78912001,311824,37134984
501,5.27599E+16,-2.991E+16,34712985,-2.5,7890007,9.99999E+15,5.5428E+15,-99985,-95,8028008,3246995,4.3488E+16,2941494,9777995,2520005,1.0182E+16,7891199,311826,35384991
502,5.47599E+16,-3.002E+16,34712998,-249995,78.9,9.99999E+15,5542796,-1.0,-8,8028008,324701,43487995,2941497,9778005,252001,1018.2,7.8912E+15,311835,3.5385E+16
503,547599,-298,34712979,-249994,7889996,1000001,5542807,-99977,-78,8028009,3246978,4.3488E+16,2941487,9.77801E+15,2520014,10182002,7.9808E+15,311821,35385001
504,5475995,-3013,34713,-250011,7890006,1000001,554281,-99989,-95,802801,3246997,43487993,2941494,9.77799E+15,2.52E+16,1.0182E+16,79807959,3.11819E+16,35384987
505,5.476E+16,-3.004E+16,3.4713E+16,-249995,7889999,1E+16,5.54281E+16,-100005,-86,8028001,3.24701E+16,4.3488E+16,29415,9777995,25.2,1.0182E+16,79807975,31182,33459984
506,5476011,-3007,3.4713E+16,-2.50016E+16,7889998,10000005,5.5428E+16,-100004,-82,8028009,3246998,4348798,2941514,9777999,2.52001E+16,1.0182E+16,79807961,311815,33460003
507,5.476E+16,-2995,3.4713E+16,-250012,7.89002E+15,9999983,5542807,-100001,-66,8028,3247002,43487982,2968501,9778001,2520008,101820009,79807985,311459,33459995
508,5475999,-3.006E+16,3.4713E+16,-249998,7889985,9999996,5542799,-100017,-8.3E+15,8028002,3246978,4.3488E+16,2.96849E+16,9778,2.51999E+16,1.0182E+16,79807971,311464,35279978
509,5.47598E+15,-299,3.4713E+16,-250012,788999,9999999,5542799,-1.00002E+16,-84,7998016,324699,4348801,2.96849E+16,9777994,2519997,1.0182E+16,79807975,31145,35279986
510,547601,-3.001E+16,34712982,-249995,7889979,1E+16,5542787,-100007,-74,7998,3247007,4.3488E+16,2.9685E+16,9.77799E+15,25.2,1.0182E+16,80463977,3.11471E+16,37099985
511,5.47599E+15,-3007,34712995,-250013,7889998,9999993,5542801,-9.9991E+15,-66,7.998E+15,3247003,43487992,2.96848E+16,9777999,2519996,10182001,80463975,311457,3709998
512,5475988,-3,3471299,-2.49977E+16,7890013,10000004,5.5428E+16,-9.9994E+15,-7.6E+15,7998006,3246989,4.3488E+16,2968522,9777991,25.2,1.0182E+16,80463989,311456,37099985
513,5.26E+16,-2999,34712982,-24998,7890002,9999995,5542799,-1.00008E+16,-84,799798,322899,4348799,2968488,977799,2519983,10182001,8.0464E+15,311452,371.0
514,5.26E+16,-3005,3.4713E+16,-249989,7889984,100.0,554281,-9.9994E+15,-15,7997983,3229,4.3488E+16,2.9685E+16,9.77799E+15,2519989,1.0182E+16,8046396,31146,371.0
515,5260001,-3003,3471299,-2.49997E+16,7889995,9999999,5.5428E+16,-10001,-158,7998002,3229012,4.3488E+16,2968508,9.778E+15,2519995,1.0182E+16,79631964,3.11471E+16,371.0
516,5260011,-3.012E+16,34712975,-2.49981E+16,7889999,10000012,5542808,-100001,-158,7997997,3228998,43487992,2968498,9777981,2519986,1018.2,79631993,3.11473E+16,3.5E+16
517,5475994,-3005,34712971,-250018,7889993,10000001,5542791,-99998,-148,7997997,3229009,43487975,2968498,9.77799E+15,2520001,101819995,7.9632E+15,311456,34999994
518,5476019,-3.012E+16,34713,-249992,7889999,9999995,5542784,-99995,-162,7998004,3229005,4.3488E+16,2968475,9.77799E+15,2520022,1.0182E+16,7.9632E+15,311449,34999973
519,5.47599E+15,-2988,34713,-2.5,7889992,10000009,5542796,-99984,-168,7997994,3229003,43487998,2.96852E+16,9777995,2520007,101819995,7.9632E+15,3.11473E+16,34999997
520,547598,-3028,34712991,-250008,7889985,9999999,5542799,-9.9999E+15,-16,7.99799E+15,3229005,4.3488E+16,2968492,9778014,2520007,1.0182E+16,80447971,311456,34999977
521,5.47602E+16,-2.989E+16,34712973,-25001,7889984,9999996,5.5428E+16,-9.9993E+15,-157,7997984,3.229E+16,43487979,2941512,9777991,2499992,101820019,80447959,3.11467E+16,37310004
522,5475999,-3.002E+16,34712979,-249987,7890008,100.0,5542808,-1.00008E+16,-148,7997998,3228994,43487976,2.9415E+16,9777994,2500009,1.0182E+16,80447964,3.11467E+16,39304991
523,5476,-3011,34712997,-25001,7889997,10000001,5.54279E+15,-1.00002E+16,-172,7997976,3229,4.3488E+16,2941494,9.77799E+15,2500021,101819995,80447964,3.11451E+16,39304966
524,5.47599E+16,-2.983E+16,34713,-250002,7.88999E+15,10000016,5542801,-100005,-158,7998011,3228991,4.3488E+16,2941498,9.77799E+15,2500005,1.0182E+16,80447966,311452,3.9305E+16
525,5476014,-3.008E+16,34712994,-250012,7889986,10000013,554281,-99998,-161,8078993,3229005,4348799,294151,9778011,2499996,1.0182E+16,80447965,311465,39305024
526,5476015,-2.994E+16,3471301,-24999,7889995,9.99999E+15,5542795,-9.9994E+15,-16,8078989,3228999,43487992,294151,9.77801E+15,2499997,101819985,80447985,31145,39304995
527,5.47601E+16,-3005,34712991,-249995,7889984,1E+16,5542807,-99998,-165,8079003,3228985,43487977,2.9415E+16,9778008,250001,10181998,80447966,3.11466E+16,3.752E+16
528,5.276E+15,-2999,34712979,-249991,7889989,10000021,5542808,-100014,-155,8078993,3.229E+16,43488003,2941493,9.77799E+15,2499999,101820011,80447971,31145,37520001
529,5275991,-3003,34713001,-2.5,78.9,10000026,5542807,-100004,-156,8078994,3229002,43487985,2.94151E+16,9777994,2.50001E+16,10181999,79615998,31145,37520004
530,5.27598E+16,-2997,34712991,-250015,7889994,9999988,554279,-100021,-172,8.07899E+15,3255993,4.3488E+16,2941514,9777985,2499999,1.0182E+16,79615992,31147,3.752E+16
531,5.276E+15,-2.991E+16,34713003,-2.49996E+16,7.88999E+15,10000007,554281,-9.9991E+15,-145,8078981,3.256E+16,4344299,2.94152E+16,9777994,2500016,1.0182E+16,79615975,311452,37519986
532,5.27602E+16,-299,34712993,-249991,7889998,10000007,5.5428E+16,-9.9991E+15,-17,8079002,3255996,43442977,2941524,9777995,2500011,1.0182E+16,7.9616E+15,311455,39374994
533,5.27602E+16,-3009,34712992,-2.50024E+16,789001,9999976,5542793,-1.00012E+16,-145,8078997,3256015,4.3443E+16,2941493,9777999,2.49999E+16,1.0182E+16,79615975,311441,3.9375E+16
534,5.27602E+16,-3.002E+16,34712986,-250001,7889995,9999999,5542788,-100001,-1.69E+16,8078989,3255996,43442983,2941512,9777988,250001,1.0182E+16,79615991,311463,3937498
535,5276,-3.014E+16,3.4713E+16,-249991,7890013,10000004,5.54279E+15,-100005,-162,8078997,3256005,4.3443E+16,2.9415E+16,9778017,2.49999E+16,1.0182E+16,79615967,311468,39374995
536,5.276E+16,-2978,34713,-249999,7889989,9.99999E+15,5542802,-99997,-1.52E+16,8079003,3256007,4.3443E+16,2.9415E+16,9777986,250001,1.0182E+16,79615976,311452,39374981
537,5.476E+16,-3.002E+16,3.4713E+16,-250018,7890011,9999988,5542787,-100011,-1.69E+16,8078999,3256025,43443003,2941514,9.77799E+15,2499997,1.0182E+16,79615979,3.11454E+16,3.9375E+16
538,5.47601E+15,-3,34712978,-249998,7889968,9999985,5542801,-1.00002E+16,-151,8079013,3256008,4.3443E+16,2941512,9777974,2499989,101820009,79615986,3.11473E+16,3755497
539,5476014,-2998,34712989,-250005,7890011,1E+16,5.54279E+16,-100016,-149,8079013,3255982,43442975,2941501,9777991,2499981,1.0182E+16,79615985,311457,37554989
540,5475999,-3003,34712984,-250021,7889992,999999,5542801,-1.00002E+16,-149,8079003,3255992,43442995,294151,9777988,2499977,101819989,79615981,311455,35664988
541,5476001,-2992,34712977,-249998,7.88998E+15,1000001,554278,-10002,-16,8.136E+15,3256026,43443004,2941495,9777976,2500019,101820019,7.9616E+15,31147,35664995
542,5.47599E+16,-2.996E+16,3.4713E+16,-250015,7890008,10000004,553201,-10001,-1.63E+16,8136006,3.25599E+16,43442978,2941501,9778002,2499999,1.0182E+16,7.9616E+15,3.11454E+16,35664992
543,5476,-2.994E+16,3471301,-250009,7889998,10000015,5.53198E+15,-100021,-156,8.136E+15,3256005,43442981,2941497,9.77799E+15,2499993,101819995,79615984,311464,35665009
544,5476,-3011,34712997,500018,7889994,10000005,5532003,-9.9993E+15,-141,8.13601E+15,3.25599E+16,4.3443E+16,294151,9.77799E+15,2499984,101819995,79615986,311455,35665001
545,5271994,-2.991E+16,34712982,499995,7.88998E+15,10000001,5.53201E+16,-100009,-158,8136005,325601,43442997,2.9415E+16,9778005,2500004,1.0182E+16,7961598,311465,37520016
546,5271999,-2999,34712989,500001,7890002,1000001,5531985,-9.9993E+15,-1.36E+16,8136013,3256005,43443003,2941508,9777999,2500004,101820009,7.9728E+15,311464,37520016
547,527201,-3003,34712991,499999,7889975,9999996,553201,-100017,-165,8.136E+15,3256008,43442979,2941497,9777991,2500015,101820014,79727981,3.11451E+16,3.752E+16
548,5272005,-3005,34712997,499986,7889998,9.99999E+15,5.53201E+16,-1.00018E+16,-1.63E+16,8.136E+15,3255992,43442979,294149,9.77799E+15,2500003,1.0182E+16,79727959,311449,37519989
549,5.272E+15,-302,34712995,500011,7.89002E+15,1E+16,5.53201E+16,-10001,-186,8136014,3256005,4.3443E+16,2.94151E+16,9778011,2499987,1.0182E+16,7.9728E+15,3.11451E+16,3.752E+16
550,5272014,-3.006E+16,34712996,500004,7889997,9999991,5.532E+15,-1.00002E+16,-156,8136004,3256021,43442973,2941481,9.778E+15,2479995,101819989,79727963,311464,3.577E+16
551,5.27199E+15,-2998,3.4713E+16,500011,7890008,9999999,5532011,-99987,-1.69E+16,8.136E+15,3255985,4.3443E+16,2941494,9778014,2480003,1.0182E+16,79727991,311459,3.577E+16
552,5271995,-3003,34712989,499988,7890008,10000001,5532011,-9.9999E+15,-17,8136001,3.25602E+16,4.3443E+16,2941504,9777978,2479986,1.0182E+16,79727963,311439,35769981
553,5271991,-2997,3.4713E+16,499995,788999,10000004,5531989,-99987,-155,8135995,325599,43442985,2.94151E+16,9777995,2480009,101820005,79727976,311463,35769998
554,5271989,-2.991E+16,34713009,4.99997E+15,7890003,10000024,5.532E+16,-1.0,-1.63E+16,8136013,3.24201E+16,4344298,2941504,9777976,2480003,10182302,79248017,31146,35769972
555,5271994,-2997,34712994,4.99992E+16,7890011,1E+16,5.53198E+16,-9.9978E+15,-156,8.136E+15,3242009,43442987,2941488,9.778E+15,2480013,101823,79247973,311461,35770015
556,5.272E+16,-2978,34712985,500001,7889994,9999991,5531994,-100003,-1.74E+16,8135987,324201,4.3443E+16,29415,9777977,2479994,101822994,7.9248E+15,311461,35769984
557,5.272E+16,-3.006E+16,34712986,4.99997E+15,7889997,1E+16,5532003,-9.9994E+15,-1.53E+16,8136005,3242009,4.3443E+16,2941501,9.77799E+15,2480013,101822994,79247996,311461,377.3
558,5.272E+15,-3,34712982,500004,7889995,9999991,5532006,-10001,-168,8135985,3.24199E+16,43442995,2.9415E+16,9.77799E+15,2480029,101823013,79247997,311465,37729989
559,5471991,-3003,3.4713E+16,500004,7890004,100.0,5.53201E+16,-9998,-16,8135999,3242,4.3443E+16,2.9415E+16,9.77799E+15,2.48001E+16,10182299,7924797,311468,37729989
560,5472002,-3.002E+16,34712997,5.00008E+16,7890007,1E+16,5532005,-99989,-155,8135978,3.24198E+16,43442987,2.94148E+16,9777994,248002,10182301,80047987,311461,3.773E+16
561,5.472E+16,-3023,34712985,499985,7890015,10000012,5532009,-1.0,-1.67E+16,8135999,3242002,43442995,2.94152E+16,9.77799E+15,2.48E+16,101823003,80047994,3.11454E+16,37729999
562,5.47201E+16,-2.987E+16,3471298,4.99997E+15,7.88999E+15,1E+16,5.532E+15,-1.00002E+16,-156,8.13599E+15,3242004,43334988,2941494,9778012,2.47999E+16,101823007,80047999,311462,37730002
563,5471999,-3013,34712981,499993,7890001,999999,5531984,-10002,-1.54E+16,8.136E+15,3241997,4333499,2941483,9777999,2480004,1.01823E+16,80048005,3.11466E+16,37729989
564,5.47201E+16,-2.996E+16,34712996,499993,789003,9999991,5.53201E+16,-100007,-155,8.13601E+15,3242004,4.3335E+16,2.94152E+16,9.77799E+15,2.48E+16,101823005,80047997,311462,3773001
565,5.472E+16,-3,34712991,5.00003E+15,7890002,100.0,5531989,-9.9983E+15,-18,8.136E+15,3242013,43334986,2941498,9777994,2480004,101823018,80863964,3.11447E+16,3.773E+16
566,5.47198E+16,-2988,34712995,500009,7889992,1E+16,553201,-99998,-1.54E+16,8.13599E+15,3242007,4333499,2.9415E+16,9777991,2480001,101822999,80863945,311464,3.773E+16
567,5471986,-3.008E+16,3.4713E+16,4.99994E+16,7890006,10000001,5531985,-100013,-147,8069989,3.24201E+16,4.3335E+16,2.9415E+16,9778008,2479994,101822996,80863978,3.11471E+16,37729986
568,525602,-2999,3471299,500005,7890005,999999,5.53199E+15,-99995,-172,8070018,3242002,43334988,2.94151E+16,9777982,2480002,10182299,80863955,311475,3.773E+16
569,5256005,-3.004E+16,3471302,5.00003E+15,7.89001E+15,10000007,5531985,-9.9988E+15,-157,8069978,3241988,4.3335E+16,2941497,9777985,2479995,101823005,79983971,311455,37729987
570,5256005,-2997,34713006,50002,7.88998E+15,9999993,5.532E+16,-100005,-161,8069996,3242003,43335014,2941488,9777996,2480007,101823015,7998396,3.11454E+16,37729987
571,5.25601E+16,-3009,34712993,499987,7889995,1E+16,5531983,-100003,-159,8070002,3241993,4.3335E+16,2941501,9778007,2.48001E+16,1.01823E+16,79983964,311477,3.773E+16
572,5455981,-301,34712985,500011,7889981,1E+16,5.53199E+16,-99995,-176,8070008,3242006,4.3335E+16,2941514,9.77799E+15,2480004,101823009,79983978,311459,3772998
573,5.45602E+16,-3.006E+16,34712977,499998,7890004,9.99999E+15,5531991,-9.9993E+15,-164,80.7,3242007,43334993,2.9415E+16,9.77799E+15,2480002,101823002,7998399,3.11454E+16,35734987
574,5.456E+16,-302,34712984,500004,7890001,9999999,553199,-99997,-176,80.7,3.242E+16,43335011,2941508,9778001,2479984,101823002,79983974,311455,3573496
575,5455987,-2.993E+16,34712975,5.00003E+15,7890015,9999987,5.53199E+16,-100004,-1.54E+16,8.07E+15,3242008,4.3335E+16,2941497,9777991,2.47999E+16,1.01823E+16,7.9984E+15,311448,3.5735E+16
576,5.45599E+15,-2.996E+16,34712978,500005,7890004,9999986,5.532E+15,-9.9978E+15,-17,8.07E+15,3242015,4.3335E+16,2941518,9.778E+15,2480002,101823013,7.9984E+15,3.11474E+16,37589987
577,5.456E+16,-3011,34712989,50002,7890004,10000009,5531985,-100006,-1.71E+16,8069994,3242,4.3335E+16,2941497,9778001,247998,101823001,79983997,3.11454E+16,37589987
578,5.45598E+16,-2.989E+16,34712984,4.99994E+16,7890016,10000019,5531978,-100009,-155,807001,3242009,4.3335E+16,2.94151E+16,9.77798E+15,2.48001E+16,101823008,7.9984E+15,31144,3.941E+16
579,5456001,-3.004E+16,34712995,50001,789001,10000005,5.532E+16,-10001,-134,8070014,3.242E+16,43334985,2.9415E+16,9.778E+15,2480002,101822995,7998398,311456,39409996
580,5.45599E+16,-3,34712978,500001,7890004,9.99999E+15,5.532E+16,-1.0,-1.53E+16,8070007,3242005,43334988,2941508,9.77799E+15,2480011,1.01823E+16,7998399,311488,39409991
581,5.45599E+16,-3003,34712979,500004,78.9,1000001,5.532E+15,-99992,-1.54E+16,8070021,3242003,43334992,2.94151E+16,9.77799E+15,248002,10182302,79983982,311459,3940998
582,5455986,-2992,34713004,500009,7890006,1E+16,5.532E+15,-1.00002E+16,-1.54E+16,8070003,3241989,4.3335E+16,2941494,9778007,2480012,10182298,79983979,31145,39409981
583,5456001,-2998,34712982,499999,7.88999E+15,9999999,5531991,-100013,-145,7995003,3241993,4.3335E+16,2941491,9.77799E+15,2479995,1.01823E+16,79983973,311464,39409993
584,5455995,-299,34712994,500005,7890012,10000004,5.532E+15,-100015,-1.38E+16,7.99499E+15,3.24198E+16,4.3335E+16,2.94148E+16,977799,2480002,1.01823E+16,79983988,311452,39409996
585,5455992,-3.004E+16,34712981,499991,7890011,1E+16,5.53199E+16,-100011,-1.74E+16,7994995,3.24202E+16,4.3335E+16,2941517,9778005,2480012,101823011,79983975,3.11471E+16,3.941E+16
586,5.45601E+15,-3.002E+16,34713004,500012,7890003,9999987,5532,-100005,-145,7994981,3242011,43334993,2.94152E+16,9.77801E+15,24.8,101823005,79983971,3.11473E+16,39409962
587,545601,-2.989E+16,34712995,499984,7890008,10000004,5.532E+16,-9.9996E+15,-17,7995003,324199,43334969,2941497,977799,2480003,101822994,8.0464E+15,311461,3940999
588,5455998,-3.002E+16,34712989,500004,789001,9.99999E+15,5.532E+16,-100005,-16,7.99499E+15,3241995,43334985,2941494,977799,2480012,1.01823E+16,80463977,311457,39409979
589,5.45599E+16,-3.002E+16,34712979,5.00003E+15,7890013,10000007,5.53202E+16,-100004,-157,799501,3.24199E+16,43335007,2.94151E+16,9.77799E+15,2479992,101822974,80463991,311457,3.92E+16
590,5456021,-3005,34712994,499993,7890009,1E+16,5.532E+16,-100017,-147,799501,3.24202E+16,4.3335E+16,2.9415E+16,9777988,2480004,101823,80463986,31146,39199997
591,5.25199E+16,-301,34712986,5.0,7.88999E+15,1E+16,5531995,-9.9996E+15,-156,7995006,3.24199E+16,43334986,2941511,9.77799E+15,2.48E+16,1.01823E+16,80463981,311481,39199991
592,5252005,-3005,34712998,499983,7890006,10000015,5532003,-100001,-1.74E+16,7995002,3.242E+16,43334988,2.94149E+16,977799,24.8,101822999,8.0464E+15,311457,39199993
593,5252024,-3.004E+16,3.4713E+16,500002,7889984,1E+16,5531991,-99998,-1.54E+16,7995002,3241989,43334987,2941481,9.778E+15,2479984,101823001,79647975,311448,39199983
594,5.252E+16,-3.006E+16,34713006,499986,7890004,1E+16,5.532E+16,-9.9988E+15,-144,7995005,3258011,4.3335E+16,2941497,9778001,2479993,101822997,7.9648E+15,311457,39200003
595,5251985,-3015,34712996,499995,7889973,9999982,5.53199E+15,-1.00008E+16,-155,7995002,3258005,43334989,2941494,9777976,2479992,1.01823E+16,79647961,311463,36889975
596,5252001,-2992,3.4713E+16,500017,7.88999E+15,9999991,5.532E+15,-100003,-161,7.995E+15,3257991,43335006,2941498,9777986,2.48001E+16,101823002,79647969,311462,3.689E+16
597,5251996,-2.991E+16,34712995,499984,7890001,10000017,553201,-99995,-159,7994994,3257998,4.3335E+16,2966995,9.77799E+15,2480001,101823025,79647975,311465,36889947
598,5.252E+16,-3.012E+16,3471299,500002,7890009,9.99999E+15,5.53201E+16,-100007,-156,7.995E+15,3258016,4.3335E+16,2.967E+16,9778023,2480005,1.01823E+16,7964798,311476,3.689E+16
599,5252016,-2999,34712997,4.99994E+16,7889994,9999983,5532006,-99998,-148,7.99499E+15,3.258E+16,43253989,2967008,9.77798E+15,2480001,1.01823E+16,7.9648E+15,31146,36889973
600,5407986,-3007,34712979,499988,78.9,999999,5531997,-9.9994E+15,-157,7994996,3257998,43254015,2966985,9777996,2480003,101823,7.9648E+15,3.11467E+16,3688996
601,5.40801E+15,-2997,34713004,500009,78.9,9.99999E+15,5532005,-100001,-157,7.99499E+15,3257999,43254003,2.967E+16,9.77801E+15,2.46999E+16,101822995,79647959,31146,3.689E+16
602,5407994,-3003,34712986,49998,789001,1E+16,5.53201E+16,-1.00012E+16,-162,7995003,3257997,4.3254E+16,2.967E+16,9777988,2469988,1.01823E+16,7.9648E+15,3.11471E+16,36889972
603,5.408E+16,-3.001E+16,34712994,500022,7.88999E+15,9999999,5.53199E+16,-9.9993E+15,-151,7994999,3258018,43254003,2.967E+16,9778001,2.47001E+16,101822997,7964798,311459,36889975
604,5408005,-3009,3.4713E+16,500007,7889973,9999996,5532009,-99989,-1.54E+16,7995022,3.258E+16,43253983,2967005,9778007,2470014,101823001,79647971,311459,36889984
605,5.408E+15,-2999,3471299,500015,7890007,10000014,5532003,-9.9988E+15,-172,7995006,3.258E+16,4.3254E+16,2.96699E+16,9777988,2.46999E+16,1.01823E+16,79647959,311441,36889986
606,5407989,-2997,34712998,500002,7890003,1E+16,5531991,-100006,-1.66E+16,7995021,3258003,43254002,2967003,9.77799E+15,2469989,101822994,7964798,3.11473E+16,3.689E+16
607,5.40801E+15,-2975,34712972,500017,7889995,1E+16,553199,-100016,-1.69E+16,7.99499E+15,3258012,4.3254E+16,2.967E+16,9.778E+15,2469999,1.01823E+16,7.9648E+15,31146,36889968
608,5.40801E+16,-2988,34712972,500016,7890002,10000009,5517592,-1.00002E+16,-176,7995004,325802,43254,2967019,9778013,2469996,101822999,79919992,3.11451E+16,36889986
609,5408011,-3.012E+16,3471298,4.99992E+16,789001,10000012,5517589,-10001,-1.42E+16,7995012,3258,4.3254E+16,296699,9.77799E+15,2469988,1.01823E+16,79919997,31146,36889986
610,5.40799E+16,-3.002E+16,3.4713E+16,499979,789001,9.99996E+15,5517601,-100015,-1.52E+16,7995003,3257985,4.3254E+16,2.96699E+16,9778008,247001,101823001,7.992E+15,311475,36889975
611,5407982,-2997,34712992,500021,7889997,10000004,5.51759E+16,-100009,-159,7995012,3257991,43253984,2.967E+16,9777994,2470005,1.01823E+16,7.992E+15,311459,36889979
612,5.408E+15,-2.994E+16,34712986,5.00003E+15,7889998,1E+16,551761,-100006,-17,8069989,3257997,4325401,296701,9778005,2469999,101822991,79919998,311455,36889983
613,5407983,-3003,3.4713E+16,500007,7890006,1000001,5.51762E+16,-10002,-15,8069985,3258007,4.3254E+16,2.96699E+16,9778007,246999,101823006,7991998,31146,3.689E+16
614,5407999,-2992,34712998,500011,7890002,1E+16,5.51759E+16,-1.0,-159,8070004,3240011,4.3254E+16,2966988,9777996,2469996,1.01823E+16,8.0752E+15,311453,36889965
615,5.40801E+16,-3011,34712994,499999,7.88999E+15,10000012,5.51759E+16,-9.9988E+15,-1.69E+16,8070008,32.4,4.3254E+16,2.967E+16,9778002,2469991,101823005,80751961,3.11467E+16,36889975
616,5.408E+15,-3.004E+16,3471298,5.0,7889967,9999999,5.5176E+16,-99987,-159,8070013,3.23999E+16,43254,2967016,9778011,247001,101822997,80751963,311468,36889962
617,5407982,-3007,34712975,4.99997E+15,7889997,9999985,5517598,-9.9999E+15,-148,8.07E+15,3240003,43254005,2.967E+16,9777985,2470019,1.01823E+16,80751976,311457,36889975
618,5.40799E+16,-2.987E+16,34712977,500017,7.88998E+15,1000001,5.51759E+16,-99984,-1.54E+16,8070012,3239997,43253995,2.96701E+16,9777996,2.47E+16,101823004,8075199,311457,3.689E+16
619,5407999,-3.002E+16,34712979,5.00008E+16,7889993,10000001,5.5176E+16,-100005,-1.91E+16,806999,32.4,4.3254E+16,2.96698E+16,9.77799E+15,2469989,1.01823E+16,79935987,311453,38780002
620,5407991,-3,34712979,500004,7889997,10000009,5.5176E+16,-99998,-1.52E+16,8069995,3239998,43254,2967002,9778015,24.7,101823009,7993599,3.11467E+16,38779989
621,5408019,-2997,34712994,4.99997E+15,7889992,9999988,5.51759E+16,-100015,-18,8070003,3240017,43254015,2.967E+16,9778005,2470001,101823002,79935996,311461,40529967
622,5.40801E+15,-2988,34712985,500005,7890006,10000005,5.51761E+16,-9.9994E+15,-16,8069985,324001,4.3254E+16,2.95199E+16,9.77798E+15,2470001,1.01823E+16,79935985,311452,40530003
623,5407996,-2997,34712977,499998,788999,10000005,5.5176E+15,-1.0,-1.53E+16,8070008,3240005,43254029,2952007,9777996,2469997,101823006,79935975,311462,38289996
624,5407996,-2998,34713,499991,7889999,9999999,5517592,-100004,-162,8069981,3239994,4.3254E+16,2.95201E+16,9777994,2.46999E+16,101823006,79936004,3.11467E+16,3.64E+16
625,5408025,-2.991E+16,34712997,499991,7889993,999999,5.5176E+16,-1.00008E+16,-182,8069981,3239986,43254005,2951995,9777985,2470005,101823,79935988,311445,36399973
626,5.496E+16,-3.004E+16,3.4713E+16,500004,7890004,9.99999E+15,5.5176E+16,-9.9991E+15,-1.52E+16,8.139E+15,3240011,4.3254E+16,2.952E+16,9778009,2.47002E+16,101823001,79935999,3.11454E+16,3.64E+16
627,5.49599E+16,-3.002E+16,34712978,5.0,788999,1E+16,5.51759E+16,-100005,-1.54E+16,8.139E+15,3239983,43254005,2.95199E+16,9.77799E+15,2469976,101822991,79935993,311439,364.0
628,5.49601E+15,-2995,34712998,500014,7890026,10000021,5517601,-100006,-158,8.13899E+15,3239986,43253989,2.952E+16,9777981,24.7,1.01823E+16,7993598,311456,36399995
629,5495986,-3.033E+16,34713,499989,78.9,9999999,5517589,-9.9993E+15,-158,8.139E+15,3240003,43253975,2951997,9778001,2470001,1.01823E+16,7993599,311452,36399989
630,5.496E+16,-3.002E+16,34712982,499993,7.89001E+15,9.99999E+15,5517605,-99987,-1.63E+16,8139001,3240014,43254008,2951995,9.778E+15,2469997,101822999,79935983,311465,3.64E+16
631,549598,-3.016E+16,34712981,499999,7889999,9999996,55176,-100007,-1.88E+16,8138993,3.24E+16,4.3173E+16,2.952E+16,9778002,2.47E+16,1.01823E+16,80559976,3.11474E+16,3.64E+16
632,5496,-298,34712989,499979,7889997,100.0,5517606,-100016,-1.63E+16,8139005,3240002,4.3173E+16,2952003,9778018,2470005,1.01823E+16,80559982,3.11471E+16,3.4615E+16
633,5495978,-2999,34712995,500011,7889994,10000001,5517612,-100011,-161,8.139E+15,3240003,4.3173E+16,2951987,9778004,2469996,101823013,80559971,31145,34614993
634,5495994,-3,3.4713E+16,50001,7889997,1E+16,5517595,-9999,-1.53E+16,8.13901E+15,3261997,43172957,2952011,9.778E+15,2469996,1.01823E+16,8055997,311456,34614986
635,5495975,-3013,34712975,499998,789001,10000007,5517609,-100021,-162,8139001,3.262E+16,43172958,2952,9778,2469995,101822994,8055996,3.11466E+16,34614993
636,5.49599E+16,-3.004E+16,34712968,-499995,7890007,10000001,5.51762E+15,-99974,-1.69E+16,8138991,3262,43172986,2.952E+16,9778,2470009,1.01823E+16,80559982,3.11466E+16,3639998
637,5496,-2998,34712998,-499982,7890006,9.99999E+15,5517601,-1.00012E+16,-1.53E+16,8.139E+15,326199,4.3173E+16,2.95201E+16,9.778E+15,2.47001E+16,1.01823E+16,80559966,3.11471E+16,36399993
638,5495989,-3005,3.4713E+16,-499996,7890001,10000013,5.5176E+16,-1.00008E+16,-158,8139005,3262004,4.3173E+16,2952001,9778001,2.47E+16,101823004,80559959,311479,3.8185E+16
639,5.49599E+16,-3.002E+16,34712997,-499987,7.88999E+15,9.99999E+15,5517598,-99998,-186,8139009,3261987,43172986,2.95201E+16,9778009,2469995,101822997,8055997,311477,38185001
640,549601,-3009,34712989,-499995,78.9,100.0,5517605,-100009,-1.67E+16,8139004,3261996,4.3173E+16,2.95202E+16,9777999,2470006,1.01823E+16,80559955,311461,38184989
641,5.49599E+16,-3013,34713003,-5.00008E+16,788998,1E+16,5.5176E+16,-99998,-17,8.13901E+15,3261996,4.3173E+16,2951995,9.77799E+15,2470001,101822999,8.056E+15,311463,38184987
